Country or Area,Item,Year,Value
Aruba,Industry (including construction), value added (% of GDP),1960,
Aruba,Industry (including construction), value added (% of GDP),1961,
Aruba,Industry (including construction), value added (% of GDP),1962,
Aruba,Industry (including construction), value added (% of GDP),1963,
Aruba,Industry (including construction), value added (% of GDP),1964,
Aruba,Industry (including construction), value added (% of GDP),1965,
Aruba,Industry (including construction), value added (% of GDP),1966,
Aruba,Industry (including construction), value added (% of GDP),1967,
Aruba,Industry (including construction), value added (% of GDP),1968,
Aruba,Industry (including construction), value added (% of GDP),1969,
Aruba,Industry (including construction), value added (% of GDP),1970,
Aruba,Industry (including construction), value added (% of GDP),1971,
Aruba,Industry (including construction), value added (% of GDP),1972,
Aruba,Industry (including construction), value added (% of GDP),1973,
Aruba,Industry (including construction), value added (% of GDP),1974,
Aruba,Industry (including construction), value added (% of GDP),1975,
Aruba,Industry (including construction), value added (% of GDP),1976,
Aruba,Industry (including construction), value added (% of GDP),1977,
Aruba,Industry (including construction), value added (% of GDP),1978,
Aruba,Industry (including construction), value added (% of GDP),1979,
Aruba,Industry (including construction), value added (% of GDP),1980,
Aruba,Industry (including construction), value added (% of GDP),1981,
Aruba,Industry (including construction), value added (% of GDP),1982,
Aruba,Industry (including construction), value added (% of GDP),1983,
Aruba,Industry (including construction), value added (% of GDP),1984,
Aruba,Industry (including construction), value added (% of GDP),1985,
Aruba,Industry (including construction), value added (% of GDP),1986,
Aruba,Industry (including construction), value added (% of GDP),1987,
Aruba,Industry (including construction), value added (% of GDP),1988,
Aruba,Industry (including construction), value added (% of GDP),1989,
Aruba,Industry (including construction), value added (% of GDP),1990,
Aruba,Industry (including construction), value added (% of GDP),1991,
Aruba,Industry (including construction), value added (% of GDP),1992,
Aruba,Industry (including construction), value added (% of GDP),1993,
Aruba,Industry (including construction), value added (% of GDP),1994,
Aruba,Industry (including construction), value added (% of GDP),1995,15.3963620981387
Aruba,Industry (including construction), value added (% of GDP),1996,14.9874493927126
Aruba,Industry (including construction), value added (% of GDP),1997,17.1338439095551
Aruba,Industry (including construction), value added (% of GDP),1998,17.5109023817511
Aruba,Industry (including construction), value added (% of GDP),1999,15.5483138780804
Aruba,Industry (including construction), value added (% of GDP),2000,13.1759545308158
Aruba,Industry (including construction), value added (% of GDP),2001,13.0540690696972
Aruba,Industry (including construction), value added (% of GDP),2002,13.2416208673862
Aruba,Industry (including construction), value added (% of GDP),2003,14.8922098082515
Aruba,Industry (including construction), value added (% of GDP),2004,15.5965082540353
Aruba,Industry (including construction), value added (% of GDP),2005,16.2974611255338
Aruba,Industry (including construction), value added (% of GDP),2006,17.6558632372378
Aruba,Industry (including construction), value added (% of GDP),2007,17.4795502921148
Aruba,Industry (including construction), value added (% of GDP),2008,16.1823488793703
Aruba,Industry (including construction), value added (% of GDP),2009,13.0430359920285
Aruba,Industry (including construction), value added (% of GDP),2010,11.5460620013165
Aruba,Industry (including construction), value added (% of GDP),2011,12.3664483303712
Aruba,Industry (including construction), value added (% of GDP),2012,10.0760634560669
Aruba,Industry (including construction), value added (% of GDP),2013,10.7496624410616
Aruba,Industry (including construction), value added (% of GDP),2014,10.799498200524
Aruba,Industry (including construction), value added (% of GDP),2015,12.4688230870932
Aruba,Industry (including construction), value added (% of GDP),2016,12.7138223459928
Aruba,Industry (including construction), value added (% of GDP),2017,12.3948233277596
Aruba,Industry (including construction), value added (% of GDP),2018,11.3581680555627
Aruba,Industry (including construction), value added (% of GDP),2019,11.3720370882194
Aruba,Industry (including construction), value added (% of GDP),2020,
Aruba,Industry (including construction), value added (% of GDP),2021,
Aruba,Industry (including construction), value added (% of GDP),2022,
Aruba,Industry (including construction), value added (% of GDP),2023,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1960,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1961,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1962,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1963,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1964,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1965,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1966,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1967,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1968,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1969,
